retailer,retailer_id,invoice_date,region,state,city,product,price_per_unit,units_sold,total_sales,operating_profit,sales_method
Foot Locker,1185732,1/1/20,Northeast,New York,New York,Men's Street Footwear,50,1200,600000,300000,In-store
Foot Locker,1185732,1/1/20,Northeast,Pennsylvania,Philadelphia,Women's Apparel,68,83,5644,2426.92,Online
Foot Locker,1185732,1/1/20,Northeast,Pennsylvania,Philadelphia,Women's Apparel,75,275,206250,61875,Outlet
Foot Locker,1185732,1/1/20,Northeast,New York,New York,Men's Street Footwear,34,384,13056,6789.12,Outlet
Foot Locker,1185732,1/1/20,Northeast,Pennsylvania,Philadelphia,Women's Apparel,53,83,4399,1407.68,Outlet
Foot Locker,1185732,1/1/20,Northeast,New York,New York,Men's Street Footwear,47,336,15792,9633.12,Online
West Gear,1128299,1/2/20,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,35,450,157500,63000,Outlet
West Gear,1128299,1/2/20,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,27,158,4266,1791.72,Outlet
Foot Locker,1185732,1/2/20,Northeast,New York,New York,Men's Athletic Footwear,47,260,12220,5132.4,Online
West Gear,1128299,1/2/20,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,32,122,3904,1991.04,Online
Foot Locker,1185732,1/2/20,Northeast,New York,New York,Men's Athletic Footwear,36,320,11520,4032,Outlet
Foot Locker,1185732,1/2/20,Northeast,New York,New York,Men's Athletic Footwear,50,1000,500000,150000,In-store
West Gear,1128299,1/3/20,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,44,117,5148,1904.76,Online
West Gear,1128299,1/3/20,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,35,135,4725,1464.75,Outlet
Foot Locker,1185732,1/3/20,Northeast,New York,New York,Women's Street Footwear,32,350,11200,4144,Outlet
Foot Locker,1185732,1/3/20,Northeast,New York,New York,Women's Street Footwear,40,1000,400000,140000,In-store
West Gear,1128299,1/3/20,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,45,450,202500,50625,Outlet
Foot Locker,1185732,1/3/20,Northeast,New York,New York,Women's Street Footwear,36,250,9000,4140,Online
West Gear,1128299,1/4/20,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,36,140,5040,2368.8,Outlet
West Gear,1128299,1/4/20,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,41,117,4797,2590.38,Online
West Gear,1128299,1/4/20,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,45,450,202500,81000,Outlet
Foot Locker,1185732,1/4/20,Northeast,New York,New York,Women's Athletic Footwear,36,281,10116,3742.92,Outlet
Foot Locker,1185732,1/4/20,Northeast,New York,New York,Women's Athletic Footwear,41,247,10127,4658.42,Online
Foot Locker,1185732,1/4/20,Northeast,New York,New York,Women's Athletic Footwear,45,850,382500,133875,In-store
Foot Locker,1185732,1/5/20,Northeast,New York,New York,Men's Apparel,43,306,13158,4868.46,Outlet
Foot Locker,1185732,1/5/20,Northeast,New York,New York,Men's Apparel,60,900,540000,162000,In-store
West Gear,1128299,1/5/20,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,45,300,135000,47250,Outlet
West Gear,1128299,1/5/20,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,34,90,3060,1254.6,Outlet
Foot Locker,1185732,1/5/20,Northeast,New York,New York,Men's Apparel,55,234,12870,5148,Online
West Gear,1128299,1/5/20,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,43,87,3741,1870.5,Online
West Gear,1128299,1/6/20,West,Nevada,Las Vegas,Men's Apparel,47,70,3290,2138.5,Online
Foot Locker,1185732,1/6/20,Northeast,New York,New York,Women's Apparel,46,260,11960,4425.2,Online
Foot Locker,1185732,1/6/20,Northeast,New York,New York,Women's Apparel,50,1000,500000,125000,In-store
West Gear,1128299,1/6/20,West,Nevada,Las Vegas,Men's Apparel,50,250,125000,68750,Outlet
West Gear,1128299,1/6/20,West,Nevada,Las Vegas,Men's Apparel,37,80,2960,1687.2,Outlet
Foot Locker,1185732,1/6/20,Northeast,New York,New York,Women's Apparel,38,330,12540,4012.8,Outlet
Foot Locker,1185732,1/7/20,Northeast,New York,New York,Men's Street Footwear,46,313,14398,8926.76,Online
West Gear,1128299,1/7/20,West,Nevada,Las Vegas,Women's Apparel,45,475,213750,42750,Outlet
West Gear,1128299,1/7/20,West,Nevada,Las Vegas,Women's Apparel,36,166,5976,1434.24,Outlet
Foot Locker,1185732,1/7/20,Northeast,New York,New York,Men's Street Footwear,33,388,12804,6658.08,Outlet
West Gear,1128299,1/7/20,West,Nevada,Las Vegas,Women's Apparel,41,128,5248,1574.4,Online
Foot Locker,1185732,1/7/20,Northeast,New York,New York,Men's Street Footwear,50,1250,625000,312500,In-store
Foot Locker,1185732,1/8/20,Northeast,New York,New York,Men's Athletic Footwear,39,315,12285,4054.05,Outlet
Foot Locker,1185732,1/8/20,Northeast,New York,New York,Men's Athletic Footwear,46,261,12006,5282.64,Online
West Gear,1128299,1/8/20,West,Nevada,Las Vegas,Men's Street Footwear,35,525,183750,73500,Outlet
West Gear,1128299,1/8/20,West,Nevada,Las Vegas,Men's Street Footwear,34,158,5372,2686,Online
West Gear,1128299,1/8/20,West,Nevada,Las Vegas,Men's Street Footwear,27,173,4671,2008.53,Outlet
Foot Locker,1185732,1/8/20,Northeast,New York,New York,Men's Athletic Footwear,50,900,450000,135000,Outlet
West Gear,1128299,1/9/20,West,Nevada,Las Vegas,Men's Athletic Footwear,45,425,191250,47812.5,Outlet
West Gear,1128299,1/9/20,West,Nevada,Las Vegas,Men's Athletic Footwear,43,128,5504,2201.6,Online
West Gear,1128299,1/9/20,West,Nevada,Las Vegas,Men's Athletic Footwear,35,145,5075,1573.25,Outlet
West Gear,1128299,1/10/20,West,Nevada,Las Vegas,Women's Street Footwear,31,140,4340,1866.2,Outlet
West Gear,1128299,1/10/20,West,Nevada,Las Vegas,Women's Street Footwear,45,425,191250,76500,Outlet
West Gear,1128299,1/10/20,West,Nevada,Las Vegas,Women's Street Footwear,41,119,4879,2585.87,Online
West Gear,1128299,1/11/20,West,Nevada,Las Vegas,Women's Athletic Footwear,45,275,123750,43312.5,Outlet
West Gear,1128299,1/11/20,West,Nevada,Las Vegas,Women's Athletic Footwear,30,85,2550,1045.5,Outlet
West Gear,1128299,1/11/20,West,Nevada,Las Vegas,Women's Athletic Footwear,44,74,3256,1497.76,Online
West Gear,1128299,1/12/20,West,Nevada,Las Vegas,Men's Apparel,50,200,100000,55000,Outlet
West Gear,1128299,1/12/20,West,Nevada,Las Vegas,Men's Apparel,37,70,2590,1579.9,Outlet
West Gear,1128299,1/12/20,West,Nevada,Las Vegas,Men's Apparel,46,52,2392,1674.4,Online
West Gear,1128299,1/13/20,West,Nevada,Las Vegas,Women's Apparel,45,400,180000,36000,Outlet
West Gear,1128299,1/13/20,West,Nevada,Las Vegas,Women's Apparel,31,140,4340,998.2,Outlet
West Gear,1128299,1/13/20,West,Nevada,Las Vegas,Women's Apparel,41,116,4756,1617.04,Online
West Gear,1128299,1/14/20,West,Nevada,Las Vegas,Men's Street Footwear,31,182,5642,2538.9,Outlet
West Gear,1128299,1/14/20,West,Nevada,Las Vegas,Men's Street Footwear,43,160,6880,3784,Online
West Gear,1128299,1/14/20,West,Nevada,Las Vegas,Men's Street Footwear,45,550,247500,99000,Outlet
West Gear,1128299,1/15/20,West,Nevada,Las Vegas,Men's Athletic Footwear,50,120,6000,2400,Online
West Gear,1128299,1/15/20,West,Nevada,Las Vegas,Men's Athletic Footwear,55,400,220000,55000,Outlet
West Gear,1128299,1/15/20,West,Nevada,Las Vegas,Men's Athletic Footwear,42,124,5208,1666.56,Outlet
West Gear,1128299,1/16/20,West,Nevada,Las Vegas,Women's Street Footwear,52,104,5408,2866.24,Online
West Gear,1128299,1/16/20,West,Nevada,Las Vegas,Women's Street Footwear,55,400,220000,88000,Outlet
West Gear,1128299,1/16/20,West,Nevada,Las Vegas,Women's Street Footwear,43,128,5504,2586.88,Outlet
West Gear,1128299,1/17/20,West,Nevada,Las Vegas,Women's Athletic Footwear,50,84,4200,1974,Online
West Gear,1128299,1/17/20,West,Nevada,Las Vegas,Women's Athletic Footwear,55,300,165000,57750,Outlet
West Gear,1128299,1/17/20,West,Nevada,Las Vegas,Women's Athletic Footwear,41,93,3813,1563.33,Outlet
West Gear,1128299,1/18/20,West,Nevada,Las Vegas,Men's Apparel,55,47,2585,1809.5,Online
West Gear,1128299,1/18/20,West,Nevada,Las Vegas,Men's Apparel,44,60,2640,1636.8,Outlet
